ticket_id,text,gold_type,gold_queue,gold_tags
REF-001,"The corporate VPN is unavailable for every remote employee and business work has stopped.",Incident,Technical Support,"[""VPN"",""Network"",""Outage"",""Disruption""]"
REF-002,"Office wireless connections drop every few minutes on the third floor.",Incident,Technical Support,"[""Network"",""Disruption""]"
REF-003,"The CRM software returns a 500 error and is unavailable to the sales team.",Incident,Technical Support,"[""Software"",""Outage"",""Disruption""]"
REF-004,"Please configure VPN access on the new company laptop for a remote worker.",Request,Technical Support,"[""VPN"",""Access"",""Hardware""]"
REF-005,"Please install the approved accounting software on my workstation.",Request,Technical Support,"[""Software"",""Hardware""]"
REF-006,"My card was charged twice for the same monthly invoice and I need the duplicate amount refunded.",Incident,Billing and Payments,"[""Billing"",""Payment"",""Refund"",""Invoice""]"
REF-007,"The invoice total is incorrect because it includes a service we never ordered.",Incident,Billing and Payments,"[""Billing"",""Invoice""]"
REF-008,"Please refund the unused balance after I canceled the subscription.",Request,Billing and Payments,"[""Billing"",""Refund"",""Subscription""]"
REF-009,"Upgrade our subscription from the basic plan to the professional plan next month.",Change,Billing and Payments,"[""Subscription"",""Billing""]"
REF-010,"Our valid company card is rejected whenever we try to pay the open invoice.",Incident,Billing and Payments,"[""Payment"",""Billing"",""Invoice""]"
REF-011,"My account is locked after several login attempts and I cannot access email.",Incident,IT Support,"[""Account"",""Access"",""Password"",""Email""]"
REF-012,"I forgot my password and need a reset link for my employee account.",Request,IT Support,"[""Password"",""Account"",""Access""]"
REF-013,"Please replace my laptop because its battery no longer holds a charge.",Request,IT Support,"[""Hardware""]"
REF-014,"Change the primary email address connected to my employee account.",Change,IT Support,"[""Email"",""Account""]"
REF-015,"Enroll my replacement phone in MFA and remove the previous device.",Change,IT Support,"[""MFA"",""Access"",""Account""]"
REF-016,"The courier marked my order as delivered but the package never arrived.",Incident,Customer Service,"[""Delivery"",""Order""]"
REF-017,"Change the shipping address for order 4812 before it leaves the warehouse.",Change,Customer Service,"[""Delivery"",""Order""]"
REF-018,"Please cancel my pending order before it is dispatched.",Request,Customer Service,"[""Order""]"
REF-019,"Can you provide the current delivery status of my order?",Request,Customer Service,"[""Delivery"",""Order""]"
REF-020,"The parcel arrived damaged and two items from the order are broken.",Incident,Customer Service,"[""Delivery"",""Order""]"
