example_id,doc_id,source_split,length_bucket,sentence_count,character_count,entity_count,section_count,text_preview,first_entities
0496691c6d54fd746c111d1004349acf7654145e__sent_000069_000077,0496691c6d54fd746c111d1004349acf7654145e,dev,short,8,956,7,1,"In order to characterize c *, we first expand the set constraint on p gen into explicit equality and inequality constraints: min Notice that K (p gen) is a convex function of p gen (x) by definition, and both the equality and inequality constraints are affine functions of p gen (x). Thus, problem (2) is a convex optimization problem. What's more, since (i) dom K is open, and (ii) there exists a feasible solution p gen = p data to (3), by the refined Slater's condition [reference], page 226), we ","[{""entity_id"": ""0496691c6d54fd746c111d1004349acf7654145e__entity_000080"", ""label"": ""Task"", ""text"": ""convex optimization problem"", ""start_char"": 307, ""end_char"": 334, ""source_token_start"": 1573, ""source_token_end_exclusive"": 1576}, {""entity_id"": ""0496691c6d54fd746c111d1004349acf7654145e__entity_000081"", ""label"": ""Method"", ""text"": ""strong duality"", ""start_char"": 559, ""end_char"": 573, ""source_token_start"": 1637, ""source_token_end_exclusive"": 1639}, {""entity_id"": ""0496691c6d54fd746c111d1004349acf7654145e__entity_000082"", ""label"": ""Task"", ""text"": ""optimal solution"", ""start_char"": 616, ""end_char"": 632, ""source_token_start"": 1646, ""source_token_end_exclusive"": 1648}, {""entity_id"": ""0496691c6d54fd746c111d1004349acf7654145e__entity_000083"", ""label"": ""Method"", ""text"": ""Karush-Kuhn-Tucker"", ""start_char"": 649, ""end_char"": 667, ""source_token_start"": 1652, ""source_token_end_exclusive"": 1657}, {""entity_id"": ""0496691c6d54fd746c111d1004349acf7654145e__entity_000084"", ""label"": ""Task"", ""text"": ""convex problem"", ""start_char"": 766, ""end_char"": 780, ""source_token_start"": 1678, ""source_token_end_exclusive"": 1680}]"
0680f04750b1e257ffdd161e85382031dc73ea7f__sent_000004_000008,0680f04750b1e257ffdd161e85382031dc73ea7f,dev,short,4,506,7,2,Experimental results show that DCR achieves state-of-the-art exact match and F1 scores on the SQuAD dataset. section: Introduction Reading comprehension-based question answering (RCQA) is the task of answering a question with a chunk of text taken from related document (s). A variety of neural models have been proposed recently either for extracting a single entity or a single token as an answer from a given text; or for selecting the correct answer by ranking a small set of human-provided candi,"[{""entity_id"": ""0680f04750b1e257ffdd161e85382031dc73ea7f__entity_000014"", ""label"": ""Method"", ""text"": ""DCR"", ""start_char"": 31, ""end_char"": 34, ""source_token_start"": 142, ""source_token_end_exclusive"": 143}, {""entity_id"": ""0680f04750b1e257ffdd161e85382031dc73ea7f__entity_000015"", ""label"": ""Metric"", ""text"": ""exact match"", ""start_char"": 61, ""end_char"": 72, ""source_token_start"": 151, ""source_token_end_exclusive"": 153}, {""entity_id"": ""0680f04750b1e257ffdd161e85382031dc73ea7f__entity_000016"", ""label"": ""Metric"", ""text"": ""F1 scores"", ""start_char"": 77, ""end_char"": 86, ""source_token_start"": 154, ""source_token_end_exclusive"": 156}, {""entity_id"": ""0680f04750b1e257ffdd161e85382031dc73ea7f__entity_000017"", ""label"": ""Material"", ""text"": ""SQuAD dataset"", ""start_char"": 94, ""end_char"": 107, ""source_token_start"": 158, ""source_token_end_exclusive"": 160}, {""entity_id"": ""0680f04750b1e257ffdd161e85382031dc73ea7f__entity_000018"", ""label"": ""Task"", ""text"": ""Reading comprehension-based question answering"", ""start_char"": 131, ""end_char"": 177, ""source_token_start"": 164, ""source_token_end_exclusive"": 170}]"
0690ba31424310a90028533218d0afd25a829c8d__sent_000006_000014,0690ba31424310a90028533218d0afd25a829c8d,dev,short,8,1529,21,2,"Qualitatively, our “ DeepLab ” system is able to localize segment boundaries at a level of accuracy which is beyond previous methods. Quantitatively, our method sets the new state-of-art at the PASCAL VOC-2012 semantic image segmentation task, reaching 71.6% IOU accuracy in the test set. We show how these results can be obtained efficiently: Careful network re-purposing and a novel application of the ’ hole ’ algorithm from the wavelet community allow dense computation of neural net responses at","[{""entity_id"": ""0690ba31424310a90028533218d0afd25a829c8d__entity_000020"", ""label"": ""Method"", ""text"": ""DeepLab ” system"", ""start_char"": 21, ""end_char"": 37, ""source_token_start"": 141, ""source_token_end_exclusive"": 144}, {""entity_id"": ""0690ba31424310a90028533218d0afd25a829c8d__entity_000021"", ""label"": ""Metric"", ""text"": ""accuracy"", ""start_char"": 91, ""end_char"": 99, ""source_token_start"": 154, ""source_token_end_exclusive"": 155}, {""entity_id"": ""0690ba31424310a90028533218d0afd25a829c8d__entity_000022"", ""label"": ""Method"", ""text"": ""Careful network re-purposing"", ""start_char"": 344, ""end_char"": 372, ""source_token_start"": 204, ""source_token_end_exclusive"": 209}, {""entity_id"": ""0690ba31424310a90028533218d0afd25a829c8d__entity_000023"", ""label"": ""Method"", ""text"": ""’ hole ’ algorithm"", ""start_char"": 404, ""end_char"": 422, ""source_token_start"": 215, ""source_token_end_exclusive"": 219}, {""entity_id"": ""0690ba31424310a90028533218d0afd25a829c8d__entity_000024"", ""label"": ""Method"", ""text"": ""wavelet community"", ""start_char"": 432, ""end_char"": 449, ""source_token_start"": 221, ""source_token_end_exclusive"": 223}]"
087337fdad69caaab8ebd8ae68a731c5bf2e8b14__sent_000056_000057,087337fdad69caaab8ebd8ae68a731c5bf2e8b14,dev,short,1,208,4,1,"Fully convolutional training is rare, but used effectively by Tompson et al. to learn an end-to-end part detector and spatial model for pose estimation, although they do not exposit on or analyze this method.","[{""entity_id"": ""087337fdad69caaab8ebd8ae68a731c5bf2e8b14__entity_000114"", ""label"": ""Method"", ""text"": ""Fully convolutional training"", ""start_char"": 0, ""end_char"": 28, ""source_token_start"": 1156, ""source_token_end_exclusive"": 1159}, {""entity_id"": ""087337fdad69caaab8ebd8ae68a731c5bf2e8b14__entity_000115"", ""label"": ""Method"", ""text"": ""end-to-end part detector"", ""start_char"": 89, ""end_char"": 113, ""source_token_start"": 1173, ""source_token_end_exclusive"": 1180}, {""entity_id"": ""087337fdad69caaab8ebd8ae68a731c5bf2e8b14__entity_000116"", ""label"": ""Method"", ""text"": ""spatial model"", ""start_char"": 118, ""end_char"": 131, ""source_token_start"": 1181, ""source_token_end_exclusive"": 1183}, {""entity_id"": ""087337fdad69caaab8ebd8ae68a731c5bf2e8b14__entity_000117"", ""label"": ""Task"", ""text"": ""pose estimation"", ""start_char"": 136, ""end_char"": 151, ""source_token_start"": 1184, ""source_token_end_exclusive"": 1186}]"
088b649415378c4dde666f614ba24d08a36b6652__sent_000014_000018,088b649415378c4dde666f614ba24d08a36b6652,dev,short,4,507,5,1,"Ideally, such a system should be robust, open-domain, and degrade gracefully in the presence of semantic representations which may be incomplete, inaccurate, or incomprehensible. It would also be desirable to simulate the behavior of English speakers who process text sequentially, from left to right, fixating nearly every word while they read and creating partial representations for sentence prefixes. Language modeling tools such as recurrent neural networks (RNN) bode well with human reading be","[{""entity_id"": ""088b649415378c4dde666f614ba24d08a36b6652__entity_000025"", ""label"": ""Method"", ""text"": ""semantic representations"", ""start_char"": 96, ""end_char"": 120, ""source_token_start"": 334, ""source_token_end_exclusive"": 336}, {""entity_id"": ""088b649415378c4dde666f614ba24d08a36b6652__entity_000026"", ""label"": ""Method"", ""text"": ""partial representations"", ""start_char"": 358, ""end_char"": 381, ""source_token_start"": 377, ""source_token_end_exclusive"": 379}, {""entity_id"": ""088b649415378c4dde666f614ba24d08a36b6652__entity_000027"", ""label"": ""Method"", ""text"": ""Language modeling tools"", ""start_char"": 405, ""end_char"": 428, ""source_token_start"": 383, ""source_token_end_exclusive"": 386}, {""entity_id"": ""088b649415378c4dde666f614ba24d08a36b6652__entity_000028"", ""label"": ""Method"", ""text"": ""recurrent neural networks"", ""start_char"": 437, ""end_char"": 462, ""source_token_start"": 388, ""source_token_end_exclusive"": 391}, {""entity_id"": ""088b649415378c4dde666f614ba24d08a36b6652__entity_000029"", ""label"": ""Method"", ""text"": ""RNN"", ""start_char"": 464, ""end_char"": 467, ""source_token_start"": 392, ""source_token_end_exclusive"": 393}]"
097851f362667a599208f4a06fa289dac2e91fbe__sent_000163_000165,097851f362667a599208f4a06fa289dac2e91fbe,dev,short,2,100,0,2,This aspect is not considered in the paper and is left for future investigation. section: Conclusion,[]
0b0dc14b8a8dcccbfc62a38355fff2f6a361e9d2__sent_000000_000004,0b0dc14b8a8dcccbfc62a38355fff2f6a361e9d2,dev,short,4,467,4,1,"document: Effective LSTMs for Target-Dependent Sentiment Classification Target-dependent sentiment classification remains a challenge: modeling the semantic relatedness of a target with its context words in a sentence. Different context words have different influences on determining the sentiment polarity of a sentence towards the target. Therefore, it is desirable to integrate the connections between target word and context words when building a learning system.","[{""entity_id"": ""0b0dc14b8a8dcccbfc62a38355fff2f6a361e9d2__entity_000000"", ""label"": ""Method"", ""text"": ""LSTMs"", ""start_char"": 20, ""end_char"": 25, ""source_token_start"": 3, ""source_token_end_exclusive"": 4}, {""entity_id"": ""0b0dc14b8a8dcccbfc62a38355fff2f6a361e9d2__entity_000001"", ""label"": ""Task"", ""text"": ""Target-Dependent Sentiment Classification"", ""start_char"": 30, ""end_char"": 71, ""source_token_start"": 5, ""source_token_end_exclusive"": 10}, {""entity_id"": ""0b0dc14b8a8dcccbfc62a38355fff2f6a361e9d2__entity_000002"", ""label"": ""Task"", ""text"": ""Target-dependent sentiment classification"", ""start_char"": 72, ""end_char"": 113, ""source_token_start"": 10, ""source_token_end_exclusive"": 15}, {""entity_id"": ""0b0dc14b8a8dcccbfc62a38355fff2f6a361e9d2__entity_000003"", ""label"": ""Method"", ""text"": ""learning system"", ""start_char"": 451, ""end_char"": 466, ""source_token_start"": 70, ""source_token_end_exclusive"": 72}]"
0c5c93594647d77dcbad5f3ed71139b186a23a3c__sent_000002_000005,0c5c93594647d77dcbad5f3ed71139b186a23a3c,dev,short,3,652,13,1,"Neural Machine Translation (NMT) has obtained state-of-the art performance for several language pairs, while only using parallel data for training. Targetside monolingual data plays an important role in boosting fluency for phrasebased statistical machine translation, and we investigate the use of monolingual data for NMT. In contrast to previous work, which combines NMT models with separately trained language models, we note that encoder-decoder NMT architectures already have the capacity to le","[{""entity_id"": ""0c5c93594647d77dcbad5f3ed71139b186a23a3c__entity_000002"", ""label"": ""Task"", ""text"": ""Neural Machine Translation"", ""start_char"": 0, ""end_char"": 26, ""source_token_start"": 11, ""source_token_end_exclusive"": 14}, {""entity_id"": ""0c5c93594647d77dcbad5f3ed71139b186a23a3c__entity_000003"", ""label"": ""Task"", ""text"": ""NMT)"", ""start_char"": 28, ""end_char"": 32, ""source_token_start"": 15, ""source_token_end_exclusive"": 17}, {""entity_id"": ""0c5c93594647d77dcbad5f3ed71139b186a23a3c__entity_000004"", ""label"": ""Method"", ""text"": ""monolingual data"", ""start_char"": 159, ""end_char"": 175, ""source_token_start"": 40, ""source_token_end_exclusive"": 42}, {""entity_id"": ""0c5c93594647d77dcbad5f3ed71139b186a23a3c__entity_000005"", ""label"": ""Task"", ""text"": ""boosting fluency"", ""start_char"": 203, ""end_char"": 219, ""source_token_start"": 47, ""source_token_end_exclusive"": 49}, {""entity_id"": ""0c5c93594647d77dcbad5f3ed71139b186a23a3c__entity_000006"", ""label"": ""Task"", ""text"": ""phrasebased statistical machine translation"", ""start_char"": 224, ""end_char"": 267, ""source_token_start"": 50, ""source_token_end_exclusive"": 54}]"
007ff2ca5f297b04636699ce4d01ca6d6f21dc77__sent_000117_000140,007ff2ca5f297b04636699ce4d01ca6d6f21dc77,dev,medium,23,2483,42,3,"Where the results of ESIM and aESIM are implemented by ourselves on Keras, the results of the others are taken from their original publications. We then compare the baseline models, CBOW, Bi-LSTM with ESIM and our aESIM on MultiNLI corpus shown In Table [reference], where the results of the baselines are taken from. Finally, we compare several types of CNN and RNN models on Quroa corpus shown in Table [reference], the results of theses CNN and RNN models are taken from. The accuracy (ACC) of eac","[{""entity_id"": ""007ff2ca5f297b04636699ce4d01ca6d6f21dc77__entity_000203"", ""label"": ""Method"", ""text"": ""ESIM"", ""start_char"": 21, ""end_char"": 25, ""source_token_start"": 2626, ""source_token_end_exclusive"": 2627}, {""entity_id"": ""007ff2ca5f297b04636699ce4d01ca6d6f21dc77__entity_000204"", ""label"": ""Method"", ""text"": ""aESIM"", ""start_char"": 30, ""end_char"": 35, ""source_token_start"": 2628, ""source_token_end_exclusive"": 2629}, {""entity_id"": ""007ff2ca5f297b04636699ce4d01ca6d6f21dc77__entity_000205"", ""label"": ""Method"", ""text"": ""Keras"", ""start_char"": 68, ""end_char"": 73, ""source_token_start"": 2634, ""source_token_end_exclusive"": 2635}, {""entity_id"": ""007ff2ca5f297b04636699ce4d01ca6d6f21dc77__entity_000206"", ""label"": ""Method"", ""text"": ""CBOW"", ""start_char"": 182, ""end_char"": 186, ""source_token_start"": 2655, ""source_token_end_exclusive"": 2656}, {""entity_id"": ""007ff2ca5f297b04636699ce4d01ca6d6f21dc77__entity_000207"", ""label"": ""Method"", ""text"": ""Bi-LSTM"", ""start_char"": 188, ""end_char"": 195, ""source_token_start"": 2657, ""source_token_end_exclusive"": 2660}]"
027d6c52be01b583b9a0d9eb8c9364c6b701c656__sent_000005_000033,027d6c52be01b583b9a0d9eb8c9364c6b701c656,dev,medium,28,3604,50,3,"Second, proceed from the first to the final layer, normalizing the variance of the output of each layer to be equal to one. Experiment with different activation functions (maxout, ReLU-family, tanh) show that the proposed initialization leads to learning of very deep nets that (i) produces networks with test accuracy better or equal to standard methods and (ii) is at least as fast as the complex schemes proposed specifically for very deep nets such as FitNets () and Highway (). Performance is ev","[{""entity_id"": ""027d6c52be01b583b9a0d9eb8c9364c6b701c656__entity_000004"", ""label"": ""Method"", ""text"": ""ReLU-family"", ""start_char"": 180, ""end_char"": 191, ""source_token_start"": 94, ""source_token_end_exclusive"": 97}, {""entity_id"": ""027d6c52be01b583b9a0d9eb8c9364c6b701c656__entity_000005"", ""label"": ""Method"", ""text"": ""tanh"", ""start_char"": 193, ""end_char"": 197, ""source_token_start"": 98, ""source_token_end_exclusive"": 99}, {""entity_id"": ""027d6c52be01b583b9a0d9eb8c9364c6b701c656__entity_000006"", ""label"": ""Task"", ""text"": ""learning of very deep nets"", ""start_char"": 246, ""end_char"": 272, ""source_token_start"": 107, ""source_token_end_exclusive"": 112}, {""entity_id"": ""027d6c52be01b583b9a0d9eb8c9364c6b701c656__entity_000007"", ""label"": ""Metric"", ""text"": ""test accuracy"", ""start_char"": 305, ""end_char"": 318, ""source_token_start"": 119, ""source_token_end_exclusive"": 121}, {""entity_id"": ""027d6c52be01b583b9a0d9eb8c9364c6b701c656__entity_000008"", ""label"": ""Task"", ""text"": ""very deep nets"", ""start_char"": 433, ""end_char"": 447, ""source_token_start"": 143, ""source_token_end_exclusive"": 146}]"
