ticket_id,text,gold_type,pred_type,type_correct,gold_queue,pred_queue,queue_correct,gold_tags,pred_tags,candidate_tags,tag_precision,tag_recall,tag_f1,json_valid,invalid_labels,tags_outside_candidates,evidence_valid_rate
1,"Wesentlicher Sicherheitsvorfall

Sehr geehrtes Support-Team,\n\nich möchte einen gravierenden Sicherheitsvorfall melden, der gegenwärtig mehrere Komponenten unserer Infrastruktur betrifft. Betroffene Geräte umfassen Projektoren, Bildschirme und Speicherlösungen auf Cloud-Plattformen. Der Grund für die Annahme ist, dass der Vorfall eine potenzielle Datenverletzung im Zusammenhang mit einer Cyberattacke darstellt, was ein erhebliches Risiko für sensible Informationen und den laufenden Geschäftsbetrieb unserer Organisation bedeutet.\n\nUnsere initialen Untersuchungen haben ungewöhnliche Aktivitäten und Abweichungen bei den Geräten ergeben. Trotz der Umsetzung unserer standardisierten Behebungs- und Eindämmungsmaßnahmen konnte die Bedrohung bislang nicht vollständig eliminiert.",Incident,Incident,True,Technical Support,Technical Support,True,"['Security', 'Outage', 'Disruption', 'Data Breach']","['Security', 'Cyberattack', 'Cloud Infrastructure', 'Hardware', 'Disruption']","['Support', 'Cloud', 'Team', 'Infrastruktur', 'IT', 'HR', 'Information', 'Cyberattack', 'Standard', 'AR', 'Attack', 'Cyber', 'Plattform', 'Tech Support', 'Customer Support', 'Technical Support', 'Cloud-Native', 'IT Support', 'Cloud Infrastructure', 'Cloud Native', 'Performance', 'Feedback', 'Bug', 'Security', 'Feature', 'Documentation', 'Disruption', 'Outage', 'Network', 'Recovery', 'Product', 'Sales', 'Billing', 'Hardware', 'Payment', 'Maintenance', 'Marketing', 'AI', 'API', 'API Integration']",0.4,0.5,0.4444,True,"{'type': [], 'queue': [], 'tags': []}",[],1.0
2,"Account Disruption

Dear Customer Support Team,\n\nI am writing to report a significant problem with the centralized account management portal, which currently appears to be offline. This outage is blocking access to account settings, leading to substantial inconvenience. I have attempted to log in multiple times using different browsers and devices, but the issue persists.\n\nCould you please provide an update on the outage status and an estimated time for resolution? Also, are there any alternative ways to access and manage my account during this downtime?",Incident,Incident,True,Technical Support,Technical Support,True,"['Account', 'Disruption', 'Outage', 'IT', 'Tech Support']","['Outage', 'Access', 'Account', 'Disruption', 'Resolution']","['Customer Support', 'Disruption', 'Outage', 'Support', 'Account', 'Issue', 'Update', 'Access', 'Customer', 'Log', 'Management', 'Resolution', 'Report', 'Team', 'Problem', 'Downtime', 'IT', 'Lead', 'Access Management', 'Device', 'Tech Support', 'Performance', 'Feedback', 'Bug', 'Security', 'Feature', 'Documentation', 'Network', 'Recovery', 'Product', 'Sales', 'Billing', 'Hardware', 'Payment', 'Maintenance', 'Marketing', 'AI', 'API', 'API Integration', 'AR']",0.6,0.6,0.6,True,"{'type': [], 'queue': [], 'tags': []}",[],1.0
3,"Query About Smart Home System Integration Features

Dear Customer Support Team,\n\nI hope this message reaches you well. I am reaching out to request detailed information about the capabilities of your smart home integration products listed on your website. As a potential customer aiming to develop a seamlessly interconnected home environment, it is essential to understand how your products interact with various smart home platforms.\n\nCould you kindly provide detailed compatibility information with popular smart home ecosystems such as Amazon Alexa, Google Assistant, and Apple?",Request,Request,True,Returns and Exchanges,Sales and Pre-Sales,False,"['Product', 'Feature', 'Tech Support']","['Smart Home', 'Integration', 'Compatibility', 'Platforms', 'Website']","['Customer Support', 'System Integration', 'Smart Home', 'IT', 'Support', 'Integration', 'System', 'Compatibility', 'Information', 'Website', 'Customer', 'Team', 'Query', 'Request', 'Environment', 'Features', 'Platforms', 'Feature', 'Product', 'Platform', 'Tech Support', 'Performance', 'Feedback', 'Bug', 'Security', 'Documentation', 'Disruption', 'Outage', 'Network', 'Recovery', 'Sales', 'Billing', 'Hardware', 'Payment', 'Maintenance', 'Marketing', 'AI', 'API', 'API Integration', 'AR']",0.0,0.0,0.0,True,"{'type': [], 'queue': [], 'tags': []}",[],1.0
4,"Inquiry Regarding Invoice Details

Dear Customer Support Team,\n\nI hope this message finds you well. I am reaching out to request clarification about the billing and payment procedures linked to my account. Recently, I observed some inconsistencies in the charges applied and would like to ensure I fully understand the billing cycle, accepted payment options, and any potential extra charges.\n\nFirstly, I would be grateful if you could provide a detailed explanation of how the billing cycle functions. Specifically, I am interested in knowing the start and end dates.\n\nThank you for your assistance regarding these billing inquiries.",Request,Request,True,Billing and Payments,Billing and Payments,True,"['Billing', 'Payment', 'Account', 'Documentation', 'Feedback']","['Billing', 'Invoice', 'Payment Options', 'Account', 'Clarification']","['Customer Support', 'Payment Options', 'Billing', 'Support', 'Payment', 'Account', 'Assistance', 'Invoice', 'Inquiry', 'Customer', 'Team', 'Request', 'Clarification', 'Plan', 'UI', 'Procedure', 'AI', 'App', 'Support Request', 'AR', 'Tech Support', 'IT', 'Performance', 'Feedback', 'Bug', 'Security', 'Feature', 'Documentation', 'Disruption', 'Outage', 'Network', 'Recovery', 'Product', 'Sales', 'Hardware', 'Maintenance', 'Marketing', 'API', 'API Integration', 'AWS']",0.4,0.4,0.4,True,"{'type': [], 'queue': [], 'tags': []}",[],1.0
5,"Question About Marketing Agency Software Compatibility

Dear Support Team,\n\nI hope this message reaches you well. I am reaching out to ask about the compatibility of your products with the specific needs of marketing agencies. Our company is considering adopting these solutions to streamline our current marketing processes and wants to confirm that the products are fully compatible with the tools and platforms we currently utilize.\n\nCould you please supply detailed information regarding the compatibility of your products with popular marketing software, CRM systems, email marketing applications, and analytics platforms? Additionally, I would appreciate any relevant case studies or documentation tailored to our use case.",Problem,Request,False,Sales and Pre-Sales,Sales and Pre-Sales,True,"['Product', 'Feature', 'Feedback', 'Tech Support']","['Compatibility', 'Marketing Agency', 'CRM', 'Email Marketing', 'Documentation']","['Software Compatibility', 'Email Marketing', 'Marketing Agency', 'Documentation', 'Support', 'Marketing', 'Software', 'Analytics', 'Compatibility', 'Agency', 'Information', 'Email', 'Tools', 'CRM', 'Team', 'Analytics Platform', 'Solutions', 'Platforms', 'IT', 'Product', 'Tech Support', 'Performance', 'Feedback', 'Bug', 'Security', 'Feature', 'Disruption', 'Outage', 'Network', 'Recovery', 'Sales', 'Billing', 'Hardware', 'Payment', 'Maintenance', 'AI', 'API', 'API Integration', 'AR', 'AWS']",0.0,0.0,0.0,True,"{'type': [], 'queue': [], 'tags': []}",[],1.0
6,"Feature Query

Dear Customer Support,\n\nI hope this message reaches you in good health. I am eager to learn more about the features of one of your products. Would you be able to share comprehensive details about its functionalities, specifications, and any distinctive characteristics it may possess? Additionally, if there are user manuals, tutorials, or demonstration videos available, I would be grateful if you could provide those resources. Gaining a thorough understanding of the features will assist me in making an informed decision regarding the product.\n\nThank you very much for your assistance. I look forward to your prompt reply.\n\nBest regards",Request,Request,True,Technical Support,Sales and Pre-Sales,False,"['Feature', 'Product', 'Documentation', 'Feedback']","['Feature', 'Documentation', 'Tutorial', 'Decision Support', 'Customer Support']","['Customer Support', 'IT', 'Feature', 'Product', 'Support', 'Assistance', 'Decision', 'Health', 'Resources', 'Customer', 'Query', 'Features', 'User Manual', 'Tutorial', 'Decision Making', 'Decision-Making', 'IT Support', 'Resource', 'AI', 'Decision Support', 'Tech Support', 'Performance', 'Feedback', 'Bug', 'Security', 'Documentation', 'Disruption', 'Outage', 'Network', 'Recovery', 'Sales', 'Billing', 'Hardware', 'Payment', 'Maintenance', 'Marketing', 'API', 'API Integration', 'AR', 'AWS']",0.4,0.5,0.4444,True,"{'type': [], 'queue': [], 'tags': []}",[],1.0
7,"System Interruptions

Dear Customer Support Team,\n\nI am submitting a report regarding multiple system service disruptions that are currently interfering with project operations and client interactions. These interruptions have notably reduced efficiency and caused delays in meeting important deadlines.\n\nInitial assessments suggest that the primary issue may be linked to widespread failures in network hardware connectivity. We have already carried out several basic troubleshooting procedures, such as rebooting devices and performing initial system checks, but the problems persist.",Incident,Incident,True,Service Outages and Maintenance,Technical Support,False,"['Outage', 'Disruption', 'Performance', 'IT', 'Tech Support']","['Service Disruption', 'Network', 'Hardware', 'Troubleshooting', 'Rebooting']","['Customer Support', 'Network', 'Hardware', 'Support', 'Issue', 'Troubleshooting', 'System', 'Service', 'Connectivity', 'Efficiency', 'Project', 'Customer', 'Report', 'Team', 'System Check', 'Rebooting', 'Service Disruption', 'IT', 'Disruption', 'Customer Service', 'Tech Support', 'Performance', 'Feedback', 'Bug', 'Security', 'Feature', 'Documentation', 'Outage', 'Recovery', 'Product', 'Sales', 'Billing', 'Payment', 'Maintenance', 'Marketing', 'AI', 'API', 'API Integration', 'AR', 'AWS']",0.0,0.0,0.0,True,"{'type': [], 'queue': [], 'tags': []}",[],1.0
8,"Connectivity Problems with Printer on MacBook Pro

Dear Support Team,\n\nI am reporting a recurring issue with the Laser Printer when printing from MacBook Pros running macOS 15. Several team members have recently encountered this problem, which appears to be connected to the latest macOS 15 system updates.\n\nWe believe the root cause might be a driver compatibility issue due to the updated operating systems or printer firmware. To troubleshoot, we have restarted the printers and MacBook devices, reinstalled the printer drivers, and verified configurations.",Incident,Incident,True,Technical Support,Technical Support,True,"['Network', 'Hardware', 'Performance', 'Bug', 'Compatibility']","['Printer', 'Connectivity', 'macOS', 'Driver', 'Compatibility']","['Root Cause', 'Support', 'Issue', 'System', 'Compatibility', 'Connectivity', 'System Update', 'Firmware', 'Driver', 'Team', 'Problem', 'Printer', 'Reporting', 'macOS', 'IT', 'Update', 'Configuration', 'System Issue', 'Device', 'Restart', 'Tech Support', 'Performance', 'Feedback', 'Bug', 'Security', 'Feature', 'Documentation', 'Disruption', 'Outage', 'Network', 'Recovery', 'Product', 'Sales', 'Billing', 'Hardware', 'Payment', 'Maintenance', 'Marketing', 'AI', 'API']",0.2,0.2,0.2,True,"{'type': [], 'queue': [], 'tags': []}",[],1.0
9,"Anfrage nach detaillierten Angaben zur Systemarchitektur der Plattform

Sehr geehrtes Kundensupport-Team,\n\nich hoffe, diese Nachricht trifft Sie wohl. Ich nehme Kontakt auf, um umfassende Informationen zur Architektur der Plattform zu erfragen. Das Verständnis der zugrunde liegenden Struktur, Komponenten und deren Zusammenhänge ist entscheidend, um eine reibungslose Integration zu gewährleisten und die Nutzung der Dienste zu optimieren.\n\nBesonders interessieren mich Details zu den Kernmodulen der Plattform, Datenströmen, Sicherheitsmaßnahmen, Skalierbarkeitsmerkmalen sowie verfügbaren APIs und Schnittstellen zur Anpassung. Zudem wären Einblicke in den Technologiestack sowie die Bereitstellungsumgebung sehr hilfreich.\n\nDer Zugriff auf diese Informationen ermöglicht es dem technischen Team, die Infrastrukturprozesse besser zu planen und zu steuern.",Request,Request,True,Technical Support,Sales and Pre-Sales,False,"['Documentation', 'Feedback', 'IT', 'Tech Support']","['Information', 'Plattform', 'Integration', 'API', 'Security']","['Integration', 'Team', 'Nutzung', 'Plattform', 'IT', 'Support', 'System', 'API', 'HR', 'Information', 'Log', 'Plan', 'AI', 'Tech', 'AR', 'Infrastruktur', 'Kunde', 'OS', 'Data Integration', 'System Integration', 'Tech Support', 'Performance', 'Feedback', 'Bug', 'Security', 'Feature', 'Documentation', 'Disruption', 'Outage', 'Network', 'Recovery', 'Product', 'Sales', 'Billing', 'Hardware', 'Payment', 'Maintenance', 'Marketing', 'API Integration', 'AWS']",0.0,0.0,0.0,True,"{'type': [], 'queue': [], 'tags': []}",[],1.0
10,"Anfrage zur Klärung der Auswirkungen eines Serviceausfalls

Sehr geehrtes Kundendienstteam,\n\nich hoffe, diese Nachricht erreicht Sie wohlbehalten. Ich schreibe, um eine Klärung bezüglich des kürzlichen Ausfalls Ihres Dienstes zu bitten, der die Plattform betroffen hat. Nutzer, die auf Ihre Dienste angewiesen sind, benötigen klare Informationen, um die betrieblichen Abläufe planen zu können, und es ist wichtig, den Umfang sowie die Folgen des Ausfalls genau zu verstehen.\n\nKönnten Sie bitte detaillierte Angaben zum Zeitraum des Ausfalls, welche Dienste betroffen waren und ob dabei Daten kompromittiert oder verloren gegangen sind, bereitstellen? Zudem würde ich mich über aktuelle Informationen zu den Maßnahmen freuen, die ergriffen wurden, um zukünftige Vorfälle zu verhindern.\n\nVielen Dank für Ihre Unterstützung und die Klärung der Details.",Request,Request,True,Service Outages and Maintenance,Service Outages and Maintenance,True,"['Disruption', 'Outage', 'Recovery', 'Support']","['Outage', 'Disruption', 'Information', 'Security', 'Recovery']","['Plattform', 'IT', 'Service', 'HR', 'Information', 'Plan', 'Team', 'AI', 'AR', 'Kunde', 'Tier', 'Cost Details', 'Tech Support', 'Performance', 'Feedback', 'Bug', 'Security', 'Feature', 'Documentation', 'Disruption', 'Outage', 'Network', 'Recovery', 'Product', 'Sales', 'Billing', 'Hardware', 'Support', 'Payment', 'Maintenance', 'Marketing', 'API', 'API Integration', 'AWS', 'Abrechnungssystem', 'Access', 'Access Control', 'Access Issue', 'Access Log', 'Access Management']",0.6,0.75,0.6667,True,"{'type': [], 'queue': [], 'tags': []}",[],0.7143
